Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category
29021,715d,"29-OPS 309","D","Operations 309","Fire-Tac","Hamilton County Fire/EMS"
29022,715e,"29-OPS 310","D","Operations 310","Fire-Tac","Hamilton County Fire/EMS"
29023,715f,"29-OPS 311","D","Operations 311","Fire-Tac","Hamilton County Fire/EMS"
29024,7160,"29-OPS 312","D","Operations 312","Fire-Tac","Hamilton County Fire/EMS"
29025,7161,"29-OPS 313","D","Operations 313","Fire-Tac","Hamilton County Fire/EMS"
29026,7162,"29-OPS 314","D","Operations 314","Fire-Tac","Hamilton County Fire/EMS"
29027,7163,"29-OPS 315","D","Operations 315","Fire-Tac","Hamilton County Fire/EMS"
29028,7164,"29-OPS 316","D","Operations 316","Fire-Tac","Hamilton County Fire/EMS"
29029,7165,"29-OPS 317","D","Operations 317","Fire-Tac","Hamilton County Fire/EMS"
29030,7166,"29-OPS 318","D","Operations 318","Fire-Tac","Hamilton County Fire/EMS"
29031,7167,"29-OPS 319","D","Operations 319","Fire-Tac","Hamilton County Fire/EMS"
29032,7168,"29-OPS 320","D","Operations 320","Fire-Tac","Hamilton County Fire/EMS"
29033,7169,"29-MED 301","D","EMS Med 301 - Community North ER","Hospital","Hamilton County EMS - Medical"
29034,716a,"29-MED 302","D","EMS Med 302 - Community Heart and Vascular ER","Hospital","Hamilton County EMS - Medical"
29035,716b,"29-MED 303","D","EMS Med 303 - St. Vincent's Fishers ER","Hospital","Hamilton County EMS - Medical"
29036,716c,"29-MED 304","D","EMS Med 304 - IU North Saxony ER","Hospital","Hamilton County EMS - Medical"
29037,716d,"29-MED 305","D","EMS Med 305 - Riverview ER","Hospital","Hamilton County EMS - Medical"
29038,716e,"29-MED 306","D","EMS Med 306 - St Vincent's Carmel ER","Hospital","Hamilton County EMS - Medical"
29039,716f,"29-MED 307","D","EMS Med 307 - St. Vincent Carmel Heart Center","Hospital","Hamilton County EMS - Medical"
29040,7170,"29-MED 308","D","EMS Med 308 - IU North Hospital","Hospital","Hamilton County EMS - Medical"
29041,7171,"29-MED 309","D","EMS Med 309 - Riverview Westfield ER","Hospital","Hamilton County EMS - Medical"
29042,7172,"29-MED 310","D","EMS Med 310 - St Vincent Castleton ER","Hospital","Hamilton County EMS - Medical"
29044,7174,"HCLE PDE 1","DE","Police: Encrypted 1","Law Tac","Hamilton County Law Enforcement"
29045,7175,"HCLE CW CAR","D","Car-to-Car (Countywide)","Law Tac","Hamilton County Law Enforcement"
29046,7176,"HCLE INV 1","D","Investigations 1","Law Tac","Hamilton County Law Enforcement"
29047,7177,"HCLE INV 2","D","Investigations 2","Law Tac","Hamilton County Law Enforcement"
29048,7178,"HC-EMA OPS","D","Hamilton County EMA Operations","Emergency Ops","Hamilton County Emergency Management"
29049,7179,"29-JAIL CTRL","D","County Jail: Control","Corrections","Hamilton County Corrections"
29050,717a,"County Jail Oper","D","County Jail: Operations 1","Corrections","Hamilton County Corrections"
29051,717b,"29-JAIL MTNC","D","County Jail: Maintenance","Corrections","Hamilton County Corrections"
29053,717d,"29-JAIL JDC","D","County Jail: Juvenile Detention Center","Corrections","Hamilton County Corrections"
29054,717e,"29-JAIL TRAN","D","County Jail: Transportation","Corrections","Hamilton County Corrections"
29055,717f,"29-JAIL OPS2","D","County Jail: Operations 2","Corrections","Hamilton County Corrections"
29056,7180,"RV DET SEC","D","Riverview Detention Security","Security","Hamilton County EMS - Medical"
29058,7182,"29-STREETS","D","County Streets Department 1","Public Works","Hamilton County Government"
29074,7192,"FISHERS FD 1","D","Fire: Main","Fire Dispatch","Fishers"
29075,7193,"FISHERS CITY","D","Citywide Interoperability (Police, Fire, Operations)","Interop","Fishers"
29077,7195,"FPD ENC OPS","DE","Police: Operations","Law Tac","Fishers"
29078,7196,"HSE ADMIN","D","Hamilton Southeastern: Administration","Schools","Hamilton County Schools"
29081,7199,"FDPW SUPV","D","Public Works: Supervisors ","Public Works","Fishers"
29082,719a,"FDPW OPS 7","D","Public Works: Operations 7","Public Works","Fishers"
29083,719b,"FDPW OPS 8","D","Public Works: Operations 8","Public Works","Fishers"
29084,719c,"FDPW OPS 9","D","Public Works: Operations 9","Public Works","Fishers"
29085,719d,"FDPW OPS 1","D","Public Works: Operations 1","Public Works","Fishers"
29086,719e,"FDPW OPS 2","D","Public Works: Operations 2","Public Works","Fishers"
29087,719f,"FDPW OPS 3","D","Public Works: Operations 3","Public Works","Fishers"
29088,71a0,"FDPW OPS 4","D","Public Works: Operations 4","Public Works","Fishers"
29089,71a1,"FDPW OPS 5","D","Public Works: Operations 5","Public Works","Fishers"
29090,71a2,"FDPW OPS 6","D","Public Works: Operations 6","Public Works","Fishers"
29091,71a3,"FDPW OPS 10","D","Public Works: Operations 10","Public Works","Fishers"
29092,71a4,"FDPW OPS 11","D","Public Works: Operations 11 ","Public Works","Fishers"
29093,71a5,"FDPW OPS 12","D","Public Works: Operations 12 ","Public Works","Fishers"
29095,71a7,"CFD TRUCK","D","Fire: Truck-to-Truck","Fire-Talk","Carmel"
29096,71a8,"CFD ADMIN","D","Fire: Administration","Fire-Talk","Carmel"
29098,71aa,"CPD E OPS 1","DE","Police: Operations 1","Law Tac","Carmel"
29099,71ab,"CPD E OPS 2","DE","Police: Operations 2","Law Tac","Carmel"
29100,71ac,"HCLE PDE 2","DE","Police: Encrypted 2","Law Tac","Hamilton County Law Enforcement"
29101,71ad,"HCLE PDE 3","DE","Police: Encrypted 3","Law Tac","Hamilton County Law Enforcement"
29102,71ae,"HCLE PDE 4","DE","Police: Encrypted 4","Law Tac","Hamilton County Law Enforcement"
29103,71af,"HCLE PDE 5","DE","Police: Encrypted 5","Law Tac","Hamilton County Law Enforcement"
29104,71b0,"HCLE PDE 6","DE","Police: Encrypted 6","Law Tac","Hamilton County Law Enforcement"
29107,71b3,"CRML DPW 07","D","Public Works: Streets/Snow Plows","Public Works","Carmel"
29108,71b4,"CRML DPW 08","D","Public Works: Wastewater","Public Works","Carmel"
29112,71b8,"CRML DPW 12","D","Public Works","Public Works","Carmel"
29113,71b9,"CRML DPW 13","D","Public Works","Public Works","Carmel"
29114,71ba,"CRML DPW MAINT3","D","Public Works: Maintenance 3","Public Works","Carmel"
29115,71bb,"CRML DPW 16","D","Public Works","Public Works","Carmel"
29116,71bc,"CRML DPW 16","D","Public Works","Public Works","Carmel"
29119,71bf,"CRML DPW 19","D","Public Works","Public Works","Carmel"
29121,71c1,"CRML DPW 21","D","Public Works","Public Works","Carmel"
29122,71c2,"SYS 3 MAINT","DE","Radio System Mainanence","Public Works","System 3 Radio Maintenence - Hamilton County"
29124,71c4,"CCS OPS 1","D","Carmel Clay Schools: Operations","Schools","Hamilton County Schools"
29125,71c5,"CCS ADMIN ATG","D","Carmel Clay Schools: Admin All Call","Schools","Hamilton County Schools"
29126,71c6,"CHS ADMIN 1","D","Carmel High School: Administration 1","Schools","Hamilton County Schools"
29127,71c7,"CCS MAINT COMN","D","Carmel Clay Schools: Maintenance Common","Schools","Hamilton County Schools"
29128,71c8,"CCS MAINT ALT","D","Carmel Clay Schools: Maintenance Alt","Schools","Hamilton County Schools"
29129,71c9,"CCS CUST COMN","D","Carmel Clay Schools: Custodians Common","Schools","Hamilton County Schools"
29130,71ca,"CCS TRANS 1","D","Carmel Clay Schools: Transportation 1","Schools","Hamilton County Schools"
29131,71cb,"CCS TRANS 2","D","Carmel Clay Schools: Transportation 2","Schools","Hamilton County Schools"
29132,71cc,"CCS POLICE 1","D","Carmel Clay Schools Police: Primary","Law Dispatch","Hamilton County Schools"
29133,71cd,"CCS POLICE 2","D","Carmel Clay Schools Police: Secondary","Law Tac","Hamilton County Schools"
29136,71d0,"CCS MAINT 1","D","Carmel Clay Schools: Maintenance","Schools","Hamilton County Schools"
29139,71d3,"CIC TOWN ALL","D","Citywide Interoperability (Fire Police, Operations)","Interop","Cicero"
29140,71d4,"CIC PD CAR","DE","Police: Car-to-Car","Law Talk","Cicero"
29141,71d5,"CIC FD ADMN","D","Fire: Administration","Fire-Talk","Cicero"
29142,71d6,"CIC PD/FD","D","Fire/Police Interoperability","Interop","Cicero"
29143,71d7,"CIC DPW 1","D","Public Works: Operations 1","Public Works","Cicero"
29144,71d8,"CIC DPW 2","D","Public Works: Operations 2","Public Works","Cicero"
29145,71d9,"ARC PD CAR","DE","Police: Car-to-Car","Law Talk","Arcadia"
29150,71de,"ARC FIRE ADM","D","Fire: Administration","Fire-Talk","Arcadia"
29151,71df,"ARC DPW","D","Department of Public Works","Public Works","Arcadia"
29152,71e0,"SHERIDAN TWN","D","Interop - Police, Fire, DPW","Interop","Sheridan"
29154,71e2,"SHERIDAN ADM ","D","Fire: Admin","Fire-Talk","Sheridan"
29155,71e3,"NFD DISPATCH","D","Fire: Dispatch","Fire Dispatch","Noblesville"
29156,71e4,"NBLVL PD ENC","DE","Police: Private","Law Talk","Noblesville"
29157,71e5,"NBLVL ST DISP","D","Streets: Dispatch","Public Works","Noblesville"
29158,71e6,"NBLVL INTEROP","D","Citywide Interop/Parks 1","Interop","Noblesville"
29160,71e8,"NPR LMS Daycare","D","Little Millers Preschool: Daycare (Noblesville Parks and Rec)","Public Works","Hamilton County Government"
29161,71e9,"NBVL ST FLD1","D","Streets: Field 1 ","Public Works","Noblesville"
29162,71ea,"NBVL CITY OPS","D","City Operations (Citywide Interop/Parks 2)","Interop","Noblesville"
29163,71eb,"NBVL WW 1","D","City Waste Water: Utility","Utilities","Noblesville"
29164,71ec,"NBVL WW 2","D","City Waste Water: Inspections","Utilities","Noblesville"
29165,71ed,"NBVL WW 3","D","City Waste Water: Plant","Utilities","Noblesville"
29166,71ee,"NBVL WW 4","D","City Waste Water: Collection","Utilities","Noblesville"
29168,71f0,"WayneTwp FD Admn","D","Wayne Twp Fire: Administration","Fire-Talk","Hamilton County Fire/EMS"
29169,71f1,"WPD ENC OPS","DE","Police: Operations","Law Tac","Westfield"
29171,71f3,"WFLD DPW OPS A","D","Department of Public Works: Operations","Public Works","Westfield"
29172,71f4,"GRND PARK OPS","D","Grand Park: Operations","Public Works","Westfield"
29174,71f6,"WFD ADMIN","D","Fire: Administration","Fire-Talk","Westfield"
29176,71f8,"WFLD DPW OPS B","D","Department of Public Works: Operations","Public Works","Westfield"
29182,71fe,"WhRivTwp FD Admn","D","White River Twp Fire: Administration","Fire-Talk","Hamilton County Fire/EMS"
29183,71ff,"HC-PD/FD 1","D","Police - Fire Interop 1","Interop","Hamilton County Interoperability"
29184,7200,"HC-PD/FD 2","D","Police - Fire Interop 2","Interop","Hamilton County Interoperability"
29185,7201,"HC-PD/FD 3","D","Police - Fire Interop 3","Interop","Hamilton County Interoperability"
29186,7202,"HC-PD/FD 4","De","Police - Fire Interop 4","Interop","Hamilton County Interoperability"
29187,7203,"HC-PD/FD 5","De","Police - Fire Interop 5","Interop","Hamilton County Interoperability"
29188,7204,"HC-PD/FD 6","De","Police - Fire Interop 6","Interop","Hamilton County Interoperability"
29189,7205,"HC-PD/FD 7","D","Police - Fire Interop 7","Interop","Hamilton County Interoperability"
29190,7206,"HC-PD/FD 8","D","Police - Fire Interop 8","Interop","Hamilton County Interoperability"
29191,7207,"NHS ADMIN","D","Noblesville School: Administration ","Schools","Hamilton County Schools"
29192,7208,"HC-PD/FD 10","D","Police - Fire Interop 10","Interop","Hamilton County Interoperability"
29193,7209,"HC-TRAINING 1","D","Police - Fire Training 1 ","Interop","Hamilton County Interoperability"
29194,720a,"HC-TRAINING 2","D","Police - Fire Training 2","Interop","Hamilton County Interoperability"
29195,720b,"HC-TRAINING 3","D","Police - Fire Training 3","Interop","Hamilton County Interoperability"
29196,720c,"HC-TRAINING 4","D","Police - Fire Training 4","Interop","Hamilton County Interoperability"
29197,720d,"29-T01","D","County Tactical 01","Multi-Tac","System 3 Tactical - Hamilton County"
29198,720e,"29-T02","D","County Tactical 02","Multi-Tac","System 3 Tactical - Hamilton County"
29199,720f,"29-T03","D","County Tactical 03","Multi-Tac","System 3 Tactical - Hamilton County"
29200,7210,"29-T04","D","County Tactical 04","Multi-Tac","System 3 Tactical - Hamilton County"
29201,7211,"29-T05","D","County Tactical 05","Multi-Tac","System 3 Tactical - Hamilton County"
29202,7212,"29-T06","D","County Tactical 06","Multi-Tac","System 3 Tactical - Hamilton County"
29203,7213,"29-T07","D","County Tactical 07","Multi-Tac","System 3 Tactical - Hamilton County"
29204,7214,"29-T08","D","County Tactical 08","Multi-Tac","System 3 Tactical - Hamilton County"
29205,7215,"29-T09","D","County Tactical 09","Multi-Tac","System 3 Tactical - Hamilton County"
29206,7216,"29-T10","D","County Tactical 10","Multi-Tac","System 3 Tactical - Hamilton County"
29207,7217,"29-T11","D","County Tactical 11","Multi-Tac","System 3 Tactical - Hamilton County"
29208,7218,"29-T12","D","County Tactical 12","Multi-Tac","System 3 Tactical - Hamilton County"
29213,721d,"WFLD TWN OPS","D","Interop - Police, Fire, DPW","Interop","Westfield"
29216,7220,"NBVL ST FLD 2","D","Streets: Field 2","Public Works","Noblesville"
29241,7239,"SHERIDAN CAR","DE","Police: Car-to-Car","Law Talk","Sheridan"
29242,723a,"HC-EMA ADMIN","De","Administration","Emergency Ops","Hamilton County Emergency Management"
29243,723b,"29-JAIL MTNC2","D","County Jail: Maintenance","Corrections","Hamilton County Law Enforcement"
29265,7251,"29-JAIL MED","D","County Jail: Medical","Corrections","Hamilton County Corrections"
29266,7252,"HAM 29 DSP WFPD","D","Westfield Police: Dispatch","Law Talk","Westfield"
29270,7256,"HAM 29 DSP 70","DE","Hamilton County Law: Dispatch","Law Dispatch","Hamilton County Law Enforcement"
29271,7257,"HAM 29 DSP 71","DE","Hamilton County Law: Dispatch","Law Dispatch","Hamilton County Law Enforcement"
29272,7258,"HAM 29 DSP 72","DE","Hamilton County Law: Dispatch","Law Dispatch","Hamilton County Law Enforcement"
29273,7259,"HAM 29 DSP 73","DE","Hamilton County Law: Dispatch","Law Dispatch","Hamilton County Law Enforcement"
29275,725b,"HAM 29 DSP 75","DE","Hamilton County Law: Dispatch","Law Dispatch","Hamilton County Law Enforcement"
29277,725d,"HAM 29 DSP 77","DE","Hamilton County Law: Dispatch","Law Dispatch","Hamilton County Law Enforcement"
48001,bb81,"48 MC DISP 1","D","Law  Dispatch 1 (Sheriff/Small Towns)","Law Dispatch","Madison County Law Enforcement"
48002,bb82,"48 MC DISP 2","DE","Law Dispatch 2 (Sheriff/Small Towns)","Law Dispatch","Madison County Law Enforcement"
48003,bb83,"48 MC TAC 1","DE","Tac-1","Law Tac","Madison County Law Enforcement"
48004,bb84,"48 MC TAC 2","DE","Tac-2","Law Tac","Madison County Law Enforcement"
48005,bb85,"48 DIRECT 1","DE","Direct Talkgroup","Law Tac","Madison County Law Enforcement"
48006,bb86,"48-OPS 1","D","Law Operations 1","Law Tac","Madison County Law Enforcement"
48007,bb87,"48-OPS 2","D","Law Operations 2","Law Tac","Madison County Law Enforcement"
48008,bb88,"48-OPS 3","D","Law Operations 3","Law Tac","Madison County Law Enforcement"
48009,bb89,"48-OPS 4","D","Law Operations 4","Law Tac","Madison County Law Enforcement"
48010,bb8a,"48 COMMAND","D","Fire: Command (Countywide)","Fire-Talk","Madison County Fire and EMS"
48011,bb8b,"48 APD DISP 1","D","Police: Dispatch 1","Law Dispatch","Anderson"
48012,bb8c,"48 APD DISP 2","DE","Police: Dispatch 2","Law Dispatch","Anderson"
48013,bb8d,"48 APD TAC1","DE","Police: Tactical 1","Law Tac","Anderson"
48014,bb8e,"48 APD TAC2","DE","Police: Tactical 2","Law Tac","Anderson"
48016,bb90,"48 SWAT 1","DE","SWAT: Ops (Ch 1)","Law Tac","Madison County Law Enforcement"
48017,bb91,"48 SWAT 2","DE","SWAT: Ops (Ch 2)","Law Tac","Madison County Law Enforcement"
48018,bb92,"48 MC CNTRL","D","Fire: Control (Countywide)","Fire Dispatch","Madison County Fire and EMS"
48019,bb93,"48 FIRE DISP","D","Fire: Dispatch (Countywide)","Fire Dispatch","Madison County Fire and EMS"
48020,bb94,"48 FD/EMS","DE","EMS: Operations (Countywide)","EMS Dispatch","Madison County Fire and EMS"
48021,bb95,"48 FG 1","D","Fireground 1","Fire-Tac","Madison County Fire and EMS"
48022,bb96,"48 FG 2","D","Fireground 2","Fire-Tac","Madison County Fire and EMS"
48023,bb97,"48 FG 3","D","Fireground 3","Fire-Tac","Madison County Fire and EMS"
48024,bb98,"48 FG 4","D","Fireground 4","Fire-Tac","Madison County Fire and EMS"
48025,bb99,"48 FG 5","D","Fireground 5","Fire-Tac","Madison County Fire and EMS"
48026,bb9a,"48 FG 6","D","Fireground 6","Fire-Tac","Madison County Fire and EMS"
48027,bb9b,"48 FG 7","D","Fireground 7","Fire-Tac","Madison County Fire and EMS"
48028,bb9c,"48 FG 8","D","Fireground 8","Fire-Tac","Madison County Fire and EMS"
48029,bb9d,"48 FG 9","D","Fireground 9","Fire-Tac","Madison County Fire and EMS"
48030,bb9e,"48 MED 1","D","EMS-to-St. Vincent's Anderson ER","Hospital","Madison County EMS - Medical"
48031,bb9f,"48 MED 2","D","EMS-to-Community Hospital Anderson ER","Hospital","Madison County EMS - Medical"
48032,bba0,"48 MED 3","D","EMS-to-St. Vincent's Elwood ER","Hospital","Madison County EMS - Medical"
48033,bba1,"48 MED 4","D","MED 4 (No Current Assignment)","Hospital","Madison County EMS - Medical"
48034,bba2,"48 MCCC 1","D","Madison County Community Corrections","Corrections","Madison County Law Enforcement"
48035,bba3,"48 CH OPS 1","D","Courthouse Ops 1 ","Law Tac","Madison County Law Enforcement"
48036,bba4,"48 RECOVER","D","Lost Radios - Dynamically Affiliation","Law Tac","Madison County Law Enforcement"
48037,bba5,"48 MCYC 1","D","Madison County Youth Center","Corrections","Madison County Law Enforcement"
48038,bba6,"48 EMA ADMIN","D","Administration","Emergency Ops","Madison County Emergency Management"
48039,bba7,"48 EMA OPS 1","D","Operations 1","Emergency Ops","Madison County Emergency Management"
48040,bba8,"48 EMA OPS 2","D","Operations 2","Emergency Ops","Madison County Emergency Management"
48041,bba9,"48 EMA OPS 3","D","Operations 3","Emergency Ops","Madison County Emergency Management"
48042,bbaa,"48 EMA OPS 4","D","Operations 4","Emergency Ops","Madison County Emergency Management"
48043,bbab,"48 EMA COMM1","D","Communications 1","Emergency Ops","Madison County Emergency Management"
48044,bbac,"48 EMA COMM2","D","Communications 2","Emergency Ops","Madison County Emergency Management"
48045,bbad,"48 DPW OPS1","D","Operations 1","Public Works","Madison County Public Works"
48046,bbae,"48 SPC EV 1","D","Events 1","Interop","System 4 Special Event - Madison County"
48047,bbaf,"48 SPC EV 2","D","Events 2","Interop","System 4 Special Event - Madison County"
48048,bbb0,"48 SPC EV 3","D","Events 3","Interop","System 4 Special Event - Madison County"
48049,bbb1,"48 SPC EV 4","D","Events 4","Interop","System 4 Special Event - Madison County"
48050,bbb2,"48 SPC EV 5","D","Events 5","Interop","System 4 Special Event - Madison County"
48051,bbb3,"48 FTRAIN 1","D","Fire: Training Operations","Fire-Talk","Madison County Fire and EMS"
48056,bbb8,"48 ROADS","D","County Road Crews","Public Works","Madison County Public Works"
